Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1223569632521848,0,0,0,283.09,0.0364261,71.4651,0.0411182,-116.607,0.0481838
1223573634522209,0,0,0,283.071,0.0336988,71.4699,0.0475282,-116.66,0.0481004
1223577636522018,0,0,0,283.035,0.0380986,71.4799,0.0482233,-116.663,0.0542205
1223581638521095,0,0,0,283.024,0.0361215,71.4299,0.0441539,-116.642,0.0552469
1223585640523676,0,0,0,282.993,0.0458966,71.4396,0.0520836,-116.616,0.0468775
1223589642523257,0,0,0,283.045,0.0403083,71.4294,0.0586588,-116.593,0.0481825
1223593644523918,0,0,0,283.029,0.037295,71.4389,0.0403749,-116.56,0.0567738
1223597646523883,0,0,0,283.076,0.0355384,71.4321,0.0524027,-116.537,0.0487978
1223601648523560,0,0,0,283.042,0.049162,71.502,0.0564035,-116.553,0.0423266
1223605650523849,0,0,0,283.047,0.0448538,71.4454,0.0466011,-116.579,0.0514598
1223609652523898,0,0,0,283.056,0.0349807,71.4584,0.0439961,-116.578,0.0493108
1223613654522231,0,0,0,283.064,0.0379026,71.4549,0.0446267,-116.594,0.0516555
1223617656522724,0,0,0,283.029,0.0391347,71.4718,0.0442892,-116.6,0.0565704
1223621658524333,0,0,0,283.041,0.049806,71.546,0.0507695,-116.561,0.0587471
1223625660522090,0,0,0,283.039,0.034334,71.5001,0.0389372,-116.53,0.0650238
1223629664523812,0,0,0,283.027,0.0351168,71.482,0.0407509,-116.617,0.0716829
1223633666521725,0,0,0,282.957,0.0432005,71.4614,0.0649377,-116.562,0.0510694
1223637668522458,0,0,0,282.946,0.03214,71.5134,0.0436588,-116.574,0.0574296
1223641670522147,0,0,0,282.902,0.0459371,71.5274,0.0498533,-116.554,0.0532667
1223645672523084,0,0,0,282.889,0.047642,71.4754,0.0439286,-116.522,0.0517291
1223649676522286,0,0,0,282.856,0.0436746,71.4235,0.0404565,-116.523,0.0517609
1223653678524591,0,0,0,282.882,0.0493636,71.4568,0.0473623,-116.463,0.0577627
1223657680523248,0,0,0,282.86,0.0361209,71.5605,0.0485595,-116.468,0.053003
1223661682523285,0,0,0,282.867,0.0446949,71.5146,0.0425381,-116.384,0.0497318
1223665684521198,0,0,0,282.858,0.0404741,71.5219,0.0443471,-116.457,0.0534825
1223669686522555,0,0,0,282.963,0.0399965,71.4652,0.0548271,-116.507,0.0447363
1223673688522100,0,0,0,282.941,0.035448,71.5524,0.0450508,-116.512,0.0608949
1223677690522185,0,0,0,282.903,0.0426515,71.5174,0.0536498,-116.531,0.0639732
1223681692522762,0,0,0,282.964,0.0382906,71.4787,0.0504575,-116.541,0.0672998
1223685694521959,0,0,0,282.887,0.0391507,71.5577,0.0460166,-116.487,0.0551427
1223689696521840,0,0,0,282.91,0.0488231,71.5353,0.0556224,-116.524,0.0649154
1223693698522249,0,0,0,282.878,0.0551075,71.5846,0.0434662,-116.502,0.0557968
1223697700522286,0,0,0,282.892,0.0389879,71.5402,0.0401991,-116.472,0.0518585
1223701702523763,0,0,0,282.938,0.0449642,71.5403,0.0399221,-116.439,0.0548361
1223705704523452,0,0,0,282.867,0.0451695,71.5892,0.0488383,-116.467,0.0461042
1223709706524089,0,0,0,282.877,0.0472359,71.5427,0.0460747,-116.486,0.0607843
1223713708522975,0,0,0,282.882,0.0433742,71.4998,0.0471178,-116.493,0.0568671
1223717710522208,0,0,0,282.896,0.0479239,71.5327,0.0451053,-116.525,0.0506975
1223721712522233,0,0,0,282.859,0.0559911,71.5346,0.0509066,-116.471,0.0515055
1223725714521358,0,0,0,282.842,0.0573557,71.5606,0.0402719,-116.47,0.060668
1223729716521599,0,0,0,282.828,0.0478642,71.5635,0.0480259,-116.507,0.0404368
